lot_id,date,wafer_slot,step,meas_tool,site_id,field_x,field_y,site_in_field,wafer_x_mm,wafer_y_mm,r_norm,pattern_density,cd_nm
L0001,2026-03-02,13,ACI,CDSEM-A,S00,0,0,0,0.0,0.0,0.0,0.42,112.788
L0001,2026-03-02,13,ACI,CDSEM-A,S01,0,0,1,-9.1,-11.55,0.098,0.447,111.922
L0001,2026-03-02,13,ACI,CDSEM-A,S02,0,0,2,9.1,-11.55,0.098,0.473,110.111
L0001,2026-03-02,13,ACI,CDSEM-A,S03,0,0,3,-9.1,11.55,0.098,0.5,112.261
L0001,2026-03-02,13,ACI,CDSEM-A,S04,0,0,4,9.1,11.55,0.098,0.527,111.184
L0001,2026-03-02,13,ACI,CDSEM-A,S05,2,0,0,52.0,0.0,0.3467,0.553,113.791
L0001,2026-03-02,13,ACI,CDSEM-A,S06,2,0,1,42.9,-11.55,0.2962,0.58,111.177
L0001,2026-03-02,13,ACI,CDSEM-A,S07,2,0,2,61.1,-11.55,0.4145,0.42,108.518
L0001,2026-03-02,13,ACI,CDSEM-A,S08,2,0,3,42.9,11.55,0.2962,0.447,113.351
L0001,2026-03-02,13,ACI,CDSEM-A,S09,2,0,4,61.1,11.55,0.4145,0.473,111.521
L0001,2026-03-02,13,ACI,CDSEM-A,S10,-2,0,0,-52.0,0.0,0.3467,0.5,110.61
L0001,2026-03-02,13,ACI,CDSEM-A,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,112.439
L0001,2026-03-02,13,ACI,CDSEM-A,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,108.561
L0001,2026-03-02,13,ACI,CDSEM-A,S13,-2,0,3,-61.1,11.55,0.4145,0.58,112.118
L0001,2026-03-02,13,ACI,CDSEM-A,S14,-2,0,4,-42.9,11.55,0.2962,0.42,112.114
L0001,2026-03-02,13,ACI,CDSEM-A,S15,0,2,0,0.0,66.0,0.44,0.447,111.011
L0001,2026-03-02,13,ACI,CDSEM-A,S16,0,2,1,-9.1,54.45,0.368,0.473,112.625
L0001,2026-03-02,13,ACI,CDSEM-A,S17,0,2,2,9.1,54.45,0.368,0.5,109.554
L0001,2026-03-02,13,ACI,CDSEM-A,S18,0,2,3,-9.1,77.55,0.5205,0.527,110.551
L0001,2026-03-02,13,ACI,CDSEM-A,S19,0,2,4,9.1,77.55,0.5205,0.553,110.302
L0001,2026-03-02,13,ACI,CDSEM-A,S20,0,-2,0,0.0,-66.0,0.44,0.58,111.314
L0001,2026-03-02,13,ACI,CDSEM-A,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,111.293
L0001,2026-03-02,13,ACI,CDSEM-A,S22,0,-2,2,9.1,-77.55,0.5205,0.447,108.96
L0001,2026-03-02,13,ACI,CDSEM-A,S23,0,-2,3,-9.1,-54.45,0.368,0.473,112.846
L0001,2026-03-02,13,ACI,CDSEM-A,S24,0,-2,4,9.1,-54.45,0.368,0.5,110.245
L0001,2026-03-02,13,ACI,CDSEM-A,S25,5,0,0,130.0,0.0,0.8667,0.527,111.308
L0001,2026-03-02,13,ACI,CDSEM-A,S26,5,0,1,120.9,-11.55,0.8097,0.553,111.651
L0001,2026-03-02,13,ACI,CDSEM-A,S27,5,0,3,120.9,11.55,0.8097,0.42,113.112
L0001,2026-03-02,13,ACI,CDSEM-A,S28,-5,0,0,-130.0,0.0,0.8667,0.473,112.643
L0001,2026-03-02,13,ACI,CDSEM-A,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,108.421
L0001,2026-03-02,13,ACI,CDSEM-A,S30,-5,0,4,-120.9,11.55,0.8097,0.58,110.827
L0001,2026-03-02,13,ACI,CDSEM-A,S31,2,-3,0,52.0,-99.0,0.7455,0.42,112.069
L0001,2026-03-02,13,ACI,CDSEM-A,S32,2,-3,1,42.9,-110.55,0.7905,0.447,112.422
L0001,2026-03-02,13,ACI,CDSEM-A,S33,2,-3,2,61.1,-110.55,0.8421,0.473,109.61
L0001,2026-03-02,13,ACI,CDSEM-A,S34,2,-3,3,42.9,-87.45,0.6494,0.5,113.011
L0001,2026-03-02,13,ACI,CDSEM-A,S35,2,-3,4,61.1,-87.45,0.7112,0.527,111.587
L0001,2026-03-02,13,ACI,CDSEM-A,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,108.725
L0001,2026-03-02,13,ACI,CDSEM-A,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,112.286
L0001,2026-03-02,13,ACI,CDSEM-A,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,109.865
L0001,2026-03-02,13,ACI,CDSEM-A,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,111.825
L0001,2026-03-02,13,ACI,CDSEM-A,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,111.477
L0003,2026-03-02,13,ACI,CDSEM-A,S00,0,0,0,0.0,0.0,0.0,0.42,111.565
L0003,2026-03-02,13,ACI,CDSEM-A,S01,0,0,1,-9.1,-11.55,0.098,0.447,111.174
L0003,2026-03-02,13,ACI,CDSEM-A,S02,0,0,2,9.1,-11.55,0.098,0.473,108.369
L0003,2026-03-02,13,ACI,CDSEM-A,S03,0,0,3,-9.1,11.55,0.098,0.5,109.936
L0003,2026-03-02,13,ACI,CDSEM-A,S04,0,0,4,9.1,11.55,0.098,0.527,111.33
L0003,2026-03-02,13,ACI,CDSEM-A,S05,2,0,0,52.0,0.0,0.3467,0.553,109.128
L0003,2026-03-02,13,ACI,CDSEM-A,S06,2,0,1,42.9,-11.55,0.2962,0.58,109.682
L0003,2026-03-02,13,ACI,CDSEM-A,S07,2,0,2,61.1,-11.55,0.4145,0.42,108.47
L0003,2026-03-02,13,ACI,CDSEM-A,S08,2,0,3,42.9,11.55,0.2962,0.447,109.392
L0003,2026-03-02,13,ACI,CDSEM-A,S09,2,0,4,61.1,11.55,0.4145,0.473,107.364
L0003,2026-03-02,13,ACI,CDSEM-A,S10,-2,0,0,-52.0,0.0,0.3467,0.5,109.298
L0003,2026-03-02,13,ACI,CDSEM-A,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,109.698
L0003,2026-03-02,13,ACI,CDSEM-A,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,107.161
L0003,2026-03-02,13,ACI,CDSEM-A,S13,-2,0,3,-61.1,11.55,0.4145,0.58,111.011
L0003,2026-03-02,13,ACI,CDSEM-A,S14,-2,0,4,-42.9,11.55,0.2962,0.42,108.801
L0003,2026-03-02,13,ACI,CDSEM-A,S15,0,2,0,0.0,66.0,0.44,0.447,111.817
L0003,2026-03-02,13,ACI,CDSEM-A,S16,0,2,1,-9.1,54.45,0.368,0.473,109.938
L0003,2026-03-02,13,ACI,CDSEM-A,S17,0,2,2,9.1,54.45,0.368,0.5,108.218
L0003,2026-03-02,13,ACI,CDSEM-A,S18,0,2,3,-9.1,77.55,0.5205,0.527,109.54
L0003,2026-03-02,13,ACI,CDSEM-A,S19,0,2,4,9.1,77.55,0.5205,0.553,110.443
L0003,2026-03-02,13,ACI,CDSEM-A,S20,0,-2,0,0.0,-66.0,0.44,0.58,109.139
L0003,2026-03-02,13,ACI,CDSEM-A,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,111.34
L0003,2026-03-02,13,ACI,CDSEM-A,S22,0,-2,2,9.1,-77.55,0.5205,0.447,107.12
L0003,2026-03-02,13,ACI,CDSEM-A,S23,0,-2,3,-9.1,-54.45,0.368,0.473,108.482
L0003,2026-03-02,13,ACI,CDSEM-A,S24,0,-2,4,9.1,-54.45,0.368,0.5,109.515
L0003,2026-03-02,13,ACI,CDSEM-A,S25,5,0,0,130.0,0.0,0.8667,0.527,109.657
L0003,2026-03-02,13,ACI,CDSEM-A,S26,5,0,1,120.9,-11.55,0.8097,0.553,109.685
L0003,2026-03-02,13,ACI,CDSEM-A,S27,5,0,3,120.9,11.55,0.8097,0.42,111.352
L0003,2026-03-02,13,ACI,CDSEM-A,S28,-5,0,0,-130.0,0.0,0.8667,0.473,109.529
L0003,2026-03-02,13,ACI,CDSEM-A,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,106.482
L0003,2026-03-02,13,ACI,CDSEM-A,S30,-5,0,4,-120.9,11.55,0.8097,0.58,108.526
L0003,2026-03-02,13,ACI,CDSEM-A,S31,2,-3,0,52.0,-99.0,0.7455,0.42,111.554
L0003,2026-03-02,13,ACI,CDSEM-A,S32,2,-3,1,42.9,-110.55,0.7905,0.447,108.593
L0003,2026-03-02,13,ACI,CDSEM-A,S33,2,-3,2,61.1,-110.55,0.8421,0.473,107.412
L0003,2026-03-02,13,ACI,CDSEM-A,S34,2,-3,3,42.9,-87.45,0.6494,0.5,109.532
L0003,2026-03-02,13,ACI,CDSEM-A,S35,2,-3,4,61.1,-87.45,0.7112,0.527,107.688
L0003,2026-03-02,13,ACI,CDSEM-A,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,110.008
L0003,2026-03-02,13,ACI,CDSEM-A,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,110.32
L0003,2026-03-02,13,ACI,CDSEM-A,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,107.633
L0003,2026-03-02,13,ACI,CDSEM-A,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,108.852
L0003,2026-03-02,13,ACI,CDSEM-A,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,109.758
L0005,2026-03-02,13,ACI,CDSEM-A,S00,0,0,0,0.0,0.0,0.0,0.42,111.86
L0005,2026-03-02,13,ACI,CDSEM-A,S01,0,0,1,-9.1,-11.55,0.098,0.447,108.067
L0005,2026-03-02,13,ACI,CDSEM-A,S02,0,0,2,9.1,-11.55,0.098,0.473,109.696
L0005,2026-03-02,13,ACI,CDSEM-A,S03,0,0,3,-9.1,11.55,0.098,0.5,110.736
L0005,2026-03-02,13,ACI,CDSEM-A,S04,0,0,4,9.1,11.55,0.098,0.527,108.187
L0005,2026-03-02,13,ACI,CDSEM-A,S05,2,0,0,52.0,0.0,0.3467,0.553,109.435
L0005,2026-03-02,13,ACI,CDSEM-A,S06,2,0,1,42.9,-11.55,0.2962,0.58,109.668
L0005,2026-03-02,13,ACI,CDSEM-A,S07,2,0,2,61.1,-11.55,0.4145,0.42,108.765
L0005,2026-03-02,13,ACI,CDSEM-A,S08,2,0,3,42.9,11.55,0.2962,0.447,109.18
L0005,2026-03-02,13,ACI,CDSEM-A,S09,2,0,4,61.1,11.55,0.4145,0.473,109.956
L0005,2026-03-02,13,ACI,CDSEM-A,S10,-2,0,0,-52.0,0.0,0.3467,0.5,110.426
L0005,2026-03-02,13,ACI,CDSEM-A,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,110.651
L0005,2026-03-02,13,ACI,CDSEM-A,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,107.95
L0005,2026-03-02,13,ACI,CDSEM-A,S13,-2,0,3,-61.1,11.55,0.4145,0.58,112.753
L0005,2026-03-02,13,ACI,CDSEM-A,S14,-2,0,4,-42.9,11.55,0.2962,0.42,109.224
L0005,2026-03-02,13,ACI,CDSEM-A,S15,0,2,0,0.0,66.0,0.44,0.447,110.505
L0005,2026-03-02,13,ACI,CDSEM-A,S16,0,2,1,-9.1,54.45,0.368,0.473,110.473
L0005,2026-03-02,13,ACI,CDSEM-A,S17,0,2,2,9.1,54.45,0.368,0.5,108.979
L0005,2026-03-02,13,ACI,CDSEM-A,S18,0,2,3,-9.1,77.55,0.5205,0.527,111.053
L0005,2026-03-02,13,ACI,CDSEM-A,S19,0,2,4,9.1,77.55,0.5205,0.553,110.508
L0005,2026-03-02,13,ACI,CDSEM-A,S20,0,-2,0,0.0,-66.0,0.44,0.58,110.649
L0005,2026-03-02,13,ACI,CDSEM-A,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,109.787
L0005,2026-03-02,13,ACI,CDSEM-A,S22,0,-2,2,9.1,-77.55,0.5205,0.447,110.263
L0005,2026-03-02,13,ACI,CDSEM-A,S23,0,-2,3,-9.1,-54.45,0.368,0.473,111.691
L0005,2026-03-02,13,ACI,CDSEM-A,S24,0,-2,4,9.1,-54.45,0.368,0.5,108.192
L0005,2026-03-02,13,ACI,CDSEM-A,S25,5,0,0,130.0,0.0,0.8667,0.527,109.892
L0005,2026-03-02,13,ACI,CDSEM-A,S26,5,0,1,120.9,-11.55,0.8097,0.553,110.142
L0005,2026-03-02,13,ACI,CDSEM-A,S27,5,0,3,120.9,11.55,0.8097,0.42,111.066
L0005,2026-03-02,13,ACI,CDSEM-A,S28,-5,0,0,-130.0,0.0,0.8667,0.473,111.574
L0005,2026-03-02,13,ACI,CDSEM-A,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,108.963
L0005,2026-03-02,13,ACI,CDSEM-A,S30,-5,0,4,-120.9,11.55,0.8097,0.58,109.698
L0005,2026-03-02,13,ACI,CDSEM-A,S31,2,-3,0,52.0,-99.0,0.7455,0.42,109.364
L0005,2026-03-02,13,ACI,CDSEM-A,S32,2,-3,1,42.9,-110.55,0.7905,0.447,112.541
L0005,2026-03-02,13,ACI,CDSEM-A,S33,2,-3,2,61.1,-110.55,0.8421,0.473,110.234
L0005,2026-03-02,13,ACI,CDSEM-A,S34,2,-3,3,42.9,-87.45,0.6494,0.5,109.817
L0005,2026-03-02,13,ACI,CDSEM-A,S35,2,-3,4,61.1,-87.45,0.7112,0.527,110.021
L0005,2026-03-02,13,ACI,CDSEM-A,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,111.932
L0005,2026-03-02,13,ACI,CDSEM-A,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,112.254
L0005,2026-03-02,13,ACI,CDSEM-A,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,109.334
L0005,2026-03-02,13,ACI,CDSEM-A,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,111.191
L0005,2026-03-02,13,ACI,CDSEM-A,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,110.732
L0007,2026-03-02,13,ACI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,110.592
L0007,2026-03-02,13,ACI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,108.667
L0007,2026-03-02,13,ACI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,113.738
L0007,2026-03-02,13,ACI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,110.165
L0007,2026-03-02,13,ACI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,111.25
L0007,2026-03-02,13,ACI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,111.366
L0007,2026-03-02,13,ACI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,110.417
L0007,2026-03-02,13,ACI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,114.991
L0007,2026-03-02,13,ACI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,110.272
L0007,2026-03-02,13,ACI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,112.635
L0007,2026-03-02,13,ACI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,111.822
L0007,2026-03-02,13,ACI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,110.706
L0007,2026-03-02,13,ACI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,111.803
L0007,2026-03-02,13,ACI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,108.831
L0007,2026-03-02,13,ACI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,111.349
L0007,2026-03-02,13,ACI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,110.922
L0007,2026-03-02,13,ACI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,109.462
L0007,2026-03-02,13,ACI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,112.328
L0007,2026-03-02,13,ACI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,109.592
L0007,2026-03-02,13,ACI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,114.523
L0007,2026-03-02,13,ACI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,113.335
L0007,2026-03-02,13,ACI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,109.353
L0007,2026-03-02,13,ACI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,111.472
L0007,2026-03-02,13,ACI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,110.238
L0007,2026-03-02,13,ACI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,113.08
L0007,2026-03-02,13,ACI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,111.131
L0007,2026-03-02,13,ACI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,109.484
L0007,2026-03-02,13,ACI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,109.619
L0007,2026-03-02,13,ACI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,111.16
L0007,2026-03-02,13,ACI,CDSEM-B,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,113.357
L0007,2026-03-02,13,ACI,CDSEM-B,S30,-5,0,4,-120.9,11.55,0.8097,0.58,112.399
L0007,2026-03-02,13,ACI,CDSEM-B,S31,2,-3,0,52.0,-99.0,0.7455,0.42,112.823
L0007,2026-03-02,13,ACI,CDSEM-B,S32,2,-3,1,42.9,-110.55,0.7905,0.447,109.16
L0007,2026-03-02,13,ACI,CDSEM-B,S33,2,-3,2,61.1,-110.55,0.8421,0.473,112.178
L0007,2026-03-02,13,ACI,CDSEM-B,S34,2,-3,3,42.9,-87.45,0.6494,0.5,109.208
L0007,2026-03-02,13,ACI,CDSEM-B,S35,2,-3,4,61.1,-87.45,0.7112,0.527,111.217
L0007,2026-03-02,13,ACI,CDSEM-B,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,110.829
L0007,2026-03-02,13,ACI,CDSEM-B,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,106.22
L0007,2026-03-02,13,ACI,CDSEM-B,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,113.808
L0007,2026-03-02,13,ACI,CDSEM-B,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,110.874
L0007,2026-03-02,13,ACI,CDSEM-B,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,113.743
L0009,2026-03-03,13,ACI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,111.183
L0009,2026-03-03,13,ACI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,108.848
L0009,2026-03-03,13,ACI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,107.555
L0009,2026-03-03,13,ACI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,110.169
L0009,2026-03-03,13,ACI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,108.726
L0009,2026-03-03,13,ACI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,107.968
L0009,2026-03-03,13,ACI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,108.502
L0009,2026-03-03,13,ACI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,109.129
L0009,2026-03-03,13,ACI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,110.728
L0009,2026-03-03,13,ACI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,110.034
L0009,2026-03-03,13,ACI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,110.737
L0009,2026-03-03,13,ACI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,109.437
L0009,2026-03-03,13,ACI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,108.792
L0009,2026-03-03,13,ACI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,111.537
L0009,2026-03-03,13,ACI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,109.676
L0009,2026-03-03,13,ACI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,112.007
L0009,2026-03-03,13,ACI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,110.231
L0009,2026-03-03,13,ACI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,106.806
L0009,2026-03-03,13,ACI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,110.755
L0009,2026-03-03,13,ACI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,111.053
L0009,2026-03-03,13,ACI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,111.146
L0009,2026-03-03,13,ACI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,111.294
L0009,2026-03-03,13,ACI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,111.352
L0009,2026-03-03,13,ACI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,110.333
L0009,2026-03-03,13,ACI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,107.216
L0009,2026-03-03,13,ACI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,109.939
L0009,2026-03-03,13,ACI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,111.188
L0009,2026-03-03,13,ACI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,112.313
L0009,2026-03-03,13,ACI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,111.269
