lot_id,date,wafer_slot,step,meas_tool,site_id,field_x,field_y,site_in_field,wafer_x_mm,wafer_y_mm,r_norm,pattern_density,cd_nm
L0001,2026-03-02,3,ADI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,131.523
L0001,2026-03-02,3,ADI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,130.255
L0001,2026-03-02,3,ADI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,128.361
L0001,2026-03-02,3,ADI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,132.067
L0001,2026-03-02,3,ADI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,130.497
L0001,2026-03-02,3,ADI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,130.27
L0001,2026-03-02,3,ADI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,131.667
L0001,2026-03-02,3,ADI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,128.497
L0001,2026-03-02,3,ADI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,130.867
L0001,2026-03-02,3,ADI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,130.618
L0001,2026-03-02,3,ADI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,132.887
L0001,2026-03-02,3,ADI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,130.711
L0001,2026-03-02,3,ADI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,129.341
L0001,2026-03-02,3,ADI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,131.917
L0001,2026-03-02,3,ADI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,129.699
L0001,2026-03-02,3,ADI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,132.487
L0001,2026-03-02,3,ADI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,132.015
L0001,2026-03-02,3,ADI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,129.672
L0001,2026-03-02,3,ADI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,131.116
L0001,2026-03-02,3,ADI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,131.418
L0001,2026-03-02,3,ADI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,130.737
L0001,2026-03-02,3,ADI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,131.531
L0001,2026-03-02,3,ADI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,129.35
L0001,2026-03-02,3,ADI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,130.895
L0001,2026-03-02,3,ADI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,129.738
L0001,2026-03-02,3,ADI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,130.72
L0001,2026-03-02,3,ADI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,131.526
L0001,2026-03-02,3,ADI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,131.689
L0001,2026-03-02,3,ADI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,132.066
L0001,2026-03-02,3,ADI,CDSEM-B,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,129.894
L0001,2026-03-02,3,ADI,CDSEM-B,S30,-5,0,4,-120.9,11.55,0.8097,0.58,130.849
L0001,2026-03-02,3,ADI,CDSEM-B,S31,2,-3,0,52.0,-99.0,0.7455,0.42,129.837
L0001,2026-03-02,3,ADI,CDSEM-B,S32,2,-3,1,42.9,-110.55,0.7905,0.447,131.563
L0001,2026-03-02,3,ADI,CDSEM-B,S33,2,-3,2,61.1,-110.55,0.8421,0.473,130.06
L0001,2026-03-02,3,ADI,CDSEM-B,S34,2,-3,3,42.9,-87.45,0.6494,0.5,130.722
L0001,2026-03-02,3,ADI,CDSEM-B,S35,2,-3,4,61.1,-87.45,0.7112,0.527,130.744
L0001,2026-03-02,3,ADI,CDSEM-B,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,131.553
L0001,2026-03-02,3,ADI,CDSEM-B,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,133.399
L0001,2026-03-02,3,ADI,CDSEM-B,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,129.281
L0001,2026-03-02,3,ADI,CDSEM-B,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,131.965
L0001,2026-03-02,3,ADI,CDSEM-B,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,128.933
L0001,2026-03-02,13,ADI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,131.332
L0001,2026-03-02,13,ADI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,131.301
L0001,2026-03-02,13,ADI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,130.108
L0001,2026-03-02,13,ADI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,131.233
L0001,2026-03-02,13,ADI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,130.262
L0001,2026-03-02,13,ADI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,132.944
L0001,2026-03-02,13,ADI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,129.295
L0001,2026-03-02,13,ADI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,128.524
L0001,2026-03-02,13,ADI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,133.171
L0001,2026-03-02,13,ADI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,130.453
L0001,2026-03-02,13,ADI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,130.626
L0001,2026-03-02,13,ADI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,131.842
L0001,2026-03-02,13,ADI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,128.439
L0001,2026-03-02,13,ADI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,131.512
L0001,2026-03-02,13,ADI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,130.848
L0001,2026-03-02,13,ADI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,130.904
L0001,2026-03-02,13,ADI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,131.538
L0001,2026-03-02,13,ADI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,128.982
L0001,2026-03-02,13,ADI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,130.571
L0001,2026-03-02,13,ADI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,130.346
L0001,2026-03-02,13,ADI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,130.379
L0001,2026-03-02,13,ADI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,131.618
