lot_id,date,wafer_slot,site_id,bcd_nm,mcd_nm,tcd_nm,taper_nm
L0001,2026-03-02,13,S00,91.73,87.555,81.7,10.154
L0001,2026-03-02,13,S08,94.018,89.129,83.312,10.963
L0001,2026-03-02,13,S17,90.099,84.134,78.844,9.755
L0001,2026-03-02,13,S26,92.205,87.522,81.956,10.258
L0001,2026-03-02,13,S35,90.761,85.978,80.6,9.905
L0007,2026-03-02,13,S00,89.46,85.634,79.396,10.263
L0007,2026-03-02,13,S08,90.105,84.963,81.032,9.814
L0007,2026-03-02,13,S17,91.5,85.87,80.629,9.583
L0007,2026-03-02,13,S26,89.587,84.114,78.228,9.55
L0007,2026-03-02,13,S35,90.303,85.355,80.785,10.132
L0019,2026-03-04,13,S00,93.078,87.636,82.195,10.361
L0019,2026-03-04,13,S08,93.242,87.654,82.096,10.56
L0019,2026-03-04,13,S17,88.632,84.045,78.919,10.983
L0019,2026-03-04,13,S26,94.017,89.318,82.42,10.184
L0019,2026-03-04,13,S35,89.83,84.248,78.401,10.61
L0037,2026-03-06,13,S00,92.215,87.495,82.771,9.847
L0037,2026-03-06,13,S08,92.936,87.921,82.501,10.086
L0037,2026-03-06,13,S17,89.207,84.936,80.039,9.186
L0037,2026-03-06,13,S26,92.354,86.34,82.554,9.638
L0037,2026-03-06,13,S35,92.334,86.001,81.244,10.263
L0043,2026-03-09,13,S00,90.453,85.102,80.181,9.818
L0043,2026-03-09,13,S08,90.929,85.834,79.811,10.152
L0043,2026-03-09,13,S17,88.558,84.019,79.73,9.835
L0043,2026-03-09,13,S26,91.287,86.809,81.459,10.079
L0043,2026-03-09,13,S35,89.883,85.538,78.693,10.099
L0061,2026-03-11,13,S00,89.148,85.234,79.426,9.947
L0061,2026-03-11,13,S08,90.48,85.264,80.63,10.487
L0061,2026-03-11,13,S17,89.136,83.348,78.317,10.314
L0061,2026-03-11,13,S26,92.527,88.228,82.527,9.899
L0061,2026-03-11,13,S35,90.617,85.387,80.351,10.058
L0073,2026-03-13,13,S00,93.278,87.638,82.186,10.535
L0073,2026-03-13,13,S08,91.409,86.524,81.154,10.446
L0073,2026-03-13,13,S17,89.462,85.296,80.504,10.147
L0073,2026-03-13,13,S26,92.332,87.933,83.78,10.204
L0073,2026-03-13,13,S35,88.828,84.248,79.0,9.682
L0079,2026-03-13,13,S00,90.637,85.44,80.657,10.241
L0079,2026-03-13,13,S08,91.592,85.313,79.885,10.346
L0079,2026-03-13,13,S17,88.96,83.361,79.796,9.337
L0079,2026-03-13,13,S26,89.889,84.893,80.661,10.124
L0079,2026-03-13,13,S35,89.609,84.262,78.773,10.181
L0085,2026-03-16,13,S00,86.2,81.506,76.104,10.17
L0085,2026-03-16,13,S08,86.493,81.271,76.747,9.982
L0085,2026-03-16,13,S17,88.815,83.448,78.753,10.584
L0085,2026-03-16,13,S26,84.846,80.288,75.103,9.804
L0085,2026-03-16,13,S35,91.027,85.049,80.511,10.691
L0097,2026-03-18,13,S00,86.477,80.219,75.392,10.165
L0097,2026-03-18,13,S08,85.004,79.804,74.25,9.333
L0097,2026-03-18,13,S17,88.446,82.221,77.997,10.827
L0097,2026-03-18,13,S26,85.972,80.858,75.549,10.368
L0097,2026-03-18,13,S35,88.701,83.616,78.251,10.332
L0103,2026-03-18,13,S00,90.31,84.126,78.611,10.237
L0103,2026-03-18,13,S08,91.349,86.592,80.176,10.018
L0103,2026-03-18,13,S17,88.059,83.661,78.124,10.108
L0103,2026-03-18,13,S26,89.63,84.776,80.061,10.646
L0103,2026-03-18,13,S35,89.505,85.602,79.452,10.617
L0115,2026-03-20,13,S00,90.097,86.147,80.861,10.018
L0115,2026-03-20,13,S08,90.929,85.064,79.829,11.205
L0115,2026-03-20,13,S17,88.281,83.247,78.271,10.198
L0115,2026-03-20,13,S26,89.404,84.012,79.923,10.762
L0115,2026-03-20,13,S35,89.435,83.88,79.121,10.841
L0121,2026-03-23,13,S00,90.588,84.288,80.866,10.362
L0121,2026-03-23,13,S08,90.239,84.945,81.044,10.158
L0121,2026-03-23,13,S17,88.519,83.526,78.567,10.083
L0121,2026-03-23,13,S26,92.168,86.5,81.069,10.373
L0121,2026-03-23,13,S35,88.993,84.245,79.443,10.249
L0127,2026-03-23,13,S00,90.582,84.978,80.321,9.963
L0127,2026-03-23,13,S08,91.905,86.543,81.818,9.777
L0127,2026-03-23,13,S17,87.661,81.587,76.461,10.495
L0127,2026-03-23,13,S26,93.437,88.182,83.459,9.839
L0127,2026-03-23,13,S35,91.661,86.478,80.935,9.99
L0139,2026-03-25,13,S00,90.931,86.459,80.532,10.297
L0139,2026-03-25,13,S08,87.947,82.616,77.921,10.183
L0139,2026-03-25,13,S17,86.561,82.071,76.711,9.801
L0139,2026-03-25,13,S26,91.136,86.593,80.91,9.553
L0139,2026-03-25,13,S35,91.918,86.754,80.926,9.474
L0157,2026-03-27,13,S00,91.019,85.761,80.977,9.821
L0157,2026-03-27,13,S08,89.719,84.904,79.399,10.087
L0157,2026-03-27,13,S17,91.767,85.942,80.761,9.848
L0157,2026-03-27,13,S26,91.25,86.188,81.387,10.675
L0157,2026-03-27,13,S35,92.459,88.281,83.403,9.357
L0163,2026-03-30,13,S00,92.177,87.309,81.414,10.079
L0163,2026-03-30,13,S08,89.769,85.796,80.411,10.403
