lot_id,date,day_index,product,layer,scanner_id,reticle_id,dose_setting_mJcm2,dose_dev_pct,focus_setting_nm,focus_sensor_nm,etch_chamber,rf_hours_since_pm,adi_meas_tool,aci_meas_tool,aci_measured,dose_sensor_mJcm2,dose_setting_vs_sensor_pct
L0001,2026-03-02,0,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.375,0.0,-8.8,CH-B,313.4,CDSEM-B,CDSEM-A,True,31.951,-0.153
L0002,2026-03-02,0,P-A1,M1-LS,SCN-02,RET-A,32.0,0.177,0.0,-2.8,CH-A,140.9,CDSEM-B,CDSEM-B,False,32.05,0.156
L0003,2026-03-02,0,P-A1,M1-LS,SCN-02,RET-B,32.0,0.307,0.0,-18.8,CH-D,56.1,CDSEM-B,CDSEM-A,True,32.071,0.222
L0004,2026-03-02,0,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.067,0.0,-4.9,CH-C,199.7,CDSEM-A,CDSEM-B,False,31.965,-0.109
L0005,2026-03-02,0,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.002,0.0,-5.7,CH-A,142.8,CDSEM-B,CDSEM-A,True,32.033,0.103
L0006,2026-03-02,0,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.175,0.0,14.2,CH-B,315.1,CDSEM-B,CDSEM-A,False,32.027,0.084
L0007,2026-03-02,0,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.314,0.0,0.9,CH-D,57.7,CDSEM-B,CDSEM-B,True,31.823,-0.553
L0008,2026-03-02,0,P-A1,M1-LS,SCN-02,RET-A,32.0,0.076,0.0,12.5,CH-B,317.5,CDSEM-B,CDSEM-A,False,31.977,-0.072
L0009,2026-03-03,1,P-A1,M1-LS,SCN-02,RET-A,32.0,0.216,0.0,-0.4,CH-C,201.4,CDSEM-A,CDSEM-B,True,32.026,0.081
L0010,2026-03-03,1,P-A1,M1-LS,SCN-01,RET-A,32.0,0.226,0.0,-8.8,CH-C,204.2,CDSEM-A,CDSEM-A,False,32.14,0.438
L0011,2026-03-03,1,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.039,0.0,25.2,CH-B,320.2,CDSEM-A,CDSEM-B,True,31.897,-0.322
L0012,2026-03-03,1,P-A1,M1-LS,SCN-01,RET-A,32.0,0.19,0.0,3.4,CH-A,145.0,CDSEM-A,CDSEM-B,False,32.096,0.3
L0013,2026-03-03,1,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.193,0.0,-2.7,CH-B,322.7,CDSEM-A,CDSEM-A,True,31.942,-0.181
L0014,2026-03-03,1,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.013,0.0,11.6,CH-C,206.9,CDSEM-B,CDSEM-B,False,31.954,-0.144
L0015,2026-03-03,1,P-A1,M1-LS,SCN-02,RET-B,32.0,0.32,0.0,1.8,CH-B,325.2,CDSEM-A,CDSEM-A,True,32.117,0.366
L0016,2026-03-03,1,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.14,0.0,1.9,CH-B,327.1,CDSEM-B,CDSEM-B,False,31.918,-0.256
L0017,2026-03-04,2,P-A1,M1-LS,SCN-01,RET-B,32.0,0.096,0.0,10.9,CH-A,146.8,CDSEM-A,CDSEM-B,True,32.048,0.15
L0018,2026-03-04,2,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.254,0.0,4.5,CH-D,60.2,CDSEM-A,CDSEM-B,False,31.846,-0.481
L0019,2026-03-04,2,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.016,0.0,2.5,CH-B,328.8,CDSEM-A,CDSEM-A,True,31.943,-0.178
