site_id,field_x,field_y,site_in_field,u_x,u_y,wafer_x_mm,wafer_y_mm,r_norm,pattern_density
S00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.42
S01,0,0,1,-0.35,-0.35,-9.1,-11.55,0.098,0.447
S02,0,0,2,0.35,-0.35,9.1,-11.55,0.098,0.473
S03,0,0,3,-0.35,0.35,-9.1,11.55,0.098,0.5
S04,0,0,4,0.35,0.35,9.1,11.55,0.098,0.527
S05,2,0,0,0.0,0.0,52.0,0.0,0.3467,0.553
S06,2,0,1,-0.35,-0.35,42.9,-11.55,0.2962,0.58
S07,2,0,2,0.35,-0.35,61.1,-11.55,0.4145,0.42
S08,2,0,3,-0.35,0.35,42.9,11.55,0.2962,0.447
S09,2,0,4,0.35,0.35,61.1,11.55,0.4145,0.473
S10,-2,0,0,0.0,0.0,-52.0,0.0,0.3467,0.5
S11,-2,0,1,-0.35,-0.35,-61.1,-11.55,0.4145,0.527
S12,-2,0,2,0.35,-0.35,-42.9,-11.55,0.2962,0.553
S13,-2,0,3,-0.35,0.35,-61.1,11.55,0.4145,0.58
S14,-2,0,4,0.35,0.35,-42.9,11.55,0.2962,0.42
S15,0,2,0,0.0,0.0,0.0,66.0,0.44,0.447
S16,0,2,1,-0.35,-0.35,-9.1,54.45,0.368,0.473
S17,0,2,2,0.35,-0.35,9.1,54.45,0.368,0.5
S18,0,2,3,-0.35,0.35,-9.1,77.55,0.5205,0.527
S19,0,2,4,0.35,0.35,9.1,77.55,0.5205,0.553
S20,0,-2,0,0.0,0.0,0.0,-66.0,0.44,0.58
S21,0,-2,1,-0.35,-0.35,-9.1,-77.55,0.5205,0.42
S22,0,-2,2,0.35,-0.35,9.1,-77.55,0.5205,0.447
S23,0,-2,3,-0.35,0.35,-9.1,-54.45,0.368,0.473
S24,0,-2,4,0.35,0.35,9.1,-54.45,0.368,0.5
S25,5,0,0,0.0,0.0,130.0,0.0,0.8667,0.527
S26,5,0,1,-0.35,-0.35,120.9,-11.55,0.8097,0.553
S27,5,0,3,-0.35,0.35,120.9,11.55,0.8097,0.42
S28,-5,0,0,0.0,0.0,-130.0,0.0,0.8667,0.473
S29,-5,0,2,0.35,-0.35,-120.9,-11.55,0.8097,0.527
S30,-5,0,4,0.35,0.35,-120.9,11.55,0.8097,0.58
S31,2,-3,0,0.0,0.0,52.0,-99.0,0.7455,0.42
S32,2,-3,1,-0.35,-0.35,42.9,-110.55,0.7905,0.447
S33,2,-3,2,0.35,-0.35,61.1,-110.55,0.8421,0.473
S34,2,-3,3,-0.35,0.35,42.9,-87.45,0.6494,0.5
S35,2,-3,4,0.35,0.35,61.1,-87.45,0.7112,0.527
S36,-2,-3,0,0.0,0.0,-52.0,-99.0,0.7455,0.553
S37,-2,-3,1,-0.35,-0.35,-61.1,-110.55,0.8421,0.58
S38,-2,-3,2,0.35,-0.35,-42.9,-110.55,0.7905,0.42
S39,-2,-3,3,-0.35,0.35,-61.1,-87.45,0.7112,0.447
S40,-2,-3,4,0.35,0.35,-42.9,-87.45,0.6494,0.473
