date,day_index,meas_tool,site_id,repeat,cd_nm
2026-03-02,0,CDSEM-A,G00,1,111.713
2026-03-02,0,CDSEM-A,G00,2,111.143
2026-03-02,0,CDSEM-A,G00,3,111.584
2026-03-02,0,CDSEM-A,G00,4,111.542
2026-03-02,0,CDSEM-A,G00,5,111.628
2026-03-02,0,CDSEM-A,G01,1,113.907
2026-03-02,0,CDSEM-A,G01,2,113.794
2026-03-02,0,CDSEM-A,G01,3,113.643
2026-03-02,0,CDSEM-A,G01,4,113.873
2026-03-02,0,CDSEM-A,G01,5,113.705
2026-03-02,0,CDSEM-A,G02,1,111.359
2026-03-02,0,CDSEM-A,G02,2,111.201
2026-03-02,0,CDSEM-A,G02,3,110.594
2026-03-02,0,CDSEM-A,G02,4,110.464
2026-03-02,0,CDSEM-A,G02,5,110.747
2026-03-02,0,CDSEM-A,G03,1,109.891
2026-03-02,0,CDSEM-A,G03,2,110.105
2026-03-02,0,CDSEM-A,G03,3,109.566
2026-03-02,0,CDSEM-A,G03,4,110.123
2026-03-02,0,CDSEM-A,G03,5,109.949
2026-03-02,0,CDSEM-A,G04,1,111.853
2026-03-02,0,CDSEM-A,G04,2,111.573
2026-03-02,0,CDSEM-A,G04,3,110.926
2026-03-02,0,CDSEM-A,G04,4,111.655
2026-03-02,0,CDSEM-A,G04,5,111.427
2026-03-02,0,CDSEM-A,G05,1,110.725
2026-03-02,0,CDSEM-A,G05,2,110.521
2026-03-02,0,CDSEM-A,G05,3,111.509
2026-03-02,0,CDSEM-A,G05,4,111.383
2026-03-02,0,CDSEM-A,G05,5,110.914
2026-03-02,0,CDSEM-A,G06,1,111.121
2026-03-02,0,CDSEM-A,G06,2,111.976
2026-03-02,0,CDSEM-A,G06,3,112.235
2026-03-02,0,CDSEM-A,G06,4,111.656
2026-03-02,0,CDSEM-A,G06,5,111.307
2026-03-02,0,CDSEM-A,G07,1,110.555
2026-03-02,0,CDSEM-A,G07,2,110.346
2026-03-02,0,CDSEM-A,G07,3,110.349
2026-03-02,0,CDSEM-A,G07,4,110.342
2026-03-02,0,CDSEM-A,G07,5,110.254
2026-03-02,0,CDSEM-A,G08,1,110.842
2026-03-02,0,CDSEM-A,G08,2,110.753
2026-03-02,0,CDSEM-A,G08,3,111.055
2026-03-02,0,CDSEM-A,G08,4,110.163
2026-03-02,0,CDSEM-A,G08,5,111.017
2026-03-02,0,CDSEM-B,G00,1,112.022
2026-03-02,0,CDSEM-B,G00,2,112.451
2026-03-02,0,CDSEM-B,G00,3,112.626
2026-03-02,0,CDSEM-B,G00,4,112.319
2026-03-02,0,CDSEM-B,G00,5,112.039
2026-03-02,0,CDSEM-B,G01,1,113.885
2026-03-02,0,CDSEM-B,G01,2,114.65
2026-03-02,0,CDSEM-B,G01,3,113.821
2026-03-02,0,CDSEM-B,G01,4,114.055
2026-03-02,0,CDSEM-B,G01,5,113.69
2026-03-02,0,CDSEM-B,G02,1,111.254
2026-03-02,0,CDSEM-B,G02,2,110.839
2026-03-02,0,CDSEM-B,G02,3,111.124
2026-03-02,0,CDSEM-B,G02,4,110.618
2026-03-02,0,CDSEM-B,G02,5,110.566
2026-03-02,0,CDSEM-B,G03,1,110.259
2026-03-02,0,CDSEM-B,G03,2,110.382
2026-03-02,0,CDSEM-B,G03,3,110.679
2026-03-02,0,CDSEM-B,G03,4,109.827
2026-03-02,0,CDSEM-B,G03,5,110.508
2026-03-02,0,CDSEM-B,G04,1,111.493
2026-03-02,0,CDSEM-B,G04,2,111.675
2026-03-02,0,CDSEM-B,G04,3,111.314
2026-03-02,0,CDSEM-B,G04,4,111.793
2026-03-02,0,CDSEM-B,G04,5,111.763
2026-03-02,0,CDSEM-B,G05,1,110.736
2026-03-02,0,CDSEM-B,G05,2,111.263
2026-03-02,0,CDSEM-B,G05,3,111.089
2026-03-02,0,CDSEM-B,G05,4,111.57
2026-03-02,0,CDSEM-B,G05,5,110.899
2026-03-02,0,CDSEM-B,G06,1,112.67
2026-03-02,0,CDSEM-B,G06,2,112.422
2026-03-02,0,CDSEM-B,G06,3,112.41
2026-03-02,0,CDSEM-B,G06,4,112.675
2026-03-02,0,CDSEM-B,G06,5,112.045
2026-03-02,0,CDSEM-B,G07,1,110.836
2026-03-02,0,CDSEM-B,G07,2,110.592
2026-03-02,0,CDSEM-B,G07,3,110.216
2026-03-02,0,CDSEM-B,G07,4,110.469
2026-03-02,0,CDSEM-B,G07,5,110.264
2026-03-02,0,CDSEM-B,G08,1,111.121
2026-03-02,0,CDSEM-B,G08,2,110.923
2026-03-02,0,CDSEM-B,G08,3,111.529
2026-03-02,0,CDSEM-B,G08,4,111.254
2026-03-02,0,CDSEM-B,G08,5,110.584
2026-03-05,3,CDSEM-A,G00,1,111.444
2026-03-05,3,CDSEM-A,G00,2,111.986
2026-03-05,3,CDSEM-A,G00,3,112.142
2026-03-05,3,CDSEM-A,G00,4,111.57
2026-03-05,3,CDSEM-A,G00,5,111.427
2026-03-05,3,CDSEM-A,G01,1,113.617
2026-03-05,3,CDSEM-A,G01,2,113.016
2026-03-05,3,CDSEM-A,G01,3,114.034
2026-03-05,3,CDSEM-A,G01,4,113.162
2026-03-05,3,CDSEM-A,G01,5,113.167
2026-03-05,3,CDSEM-A,G02,1,111.052
2026-03-05,3,CDSEM-A,G02,2,110.966
2026-03-05,3,CDSEM-A,G02,3,110.845
2026-03-05,3,CDSEM-A,G02,4,110.184
2026-03-05,3,CDSEM-A,G02,5,111.305
2026-03-05,3,CDSEM-A,G03,1,110.117
2026-03-05,3,CDSEM-A,G03,2,109.703
2026-03-05,3,CDSEM-A,G03,3,110.012
2026-03-05,3,CDSEM-A,G03,4,109.821
2026-03-05,3,CDSEM-A,G03,5,109.516
2026-03-05,3,CDSEM-A,G04,1,110.827
2026-03-05,3,CDSEM-A,G04,2,111.423
2026-03-05,3,CDSEM-A,G04,3,111.24
2026-03-05,3,CDSEM-A,G04,4,111.517
2026-03-05,3,CDSEM-A,G04,5,110.85
2026-03-05,3,CDSEM-A,G05,1,110.773
2026-03-05,3,CDSEM-A,G05,2,110.903
2026-03-05,3,CDSEM-A,G05,3,111.402
2026-03-05,3,CDSEM-A,G05,4,111.193
2026-03-05,3,CDSEM-A,G05,5,110.969
2026-03-05,3,CDSEM-A,G06,1,111.634
2026-03-05,3,CDSEM-A,G06,2,112.081
2026-03-05,3,CDSEM-A,G06,3,111.655
2026-03-05,3,CDSEM-A,G06,4,111.639
2026-03-05,3,CDSEM-A,G06,5,112.05
2026-03-05,3,CDSEM-A,G07,1,110.322
2026-03-05,3,CDSEM-A,G07,2,109.707
2026-03-05,3,CDSEM-A,G07,3,109.891
2026-03-05,3,CDSEM-A,G07,4,110.726
2026-03-05,3,CDSEM-A,G07,5,110.269
2026-03-05,3,CDSEM-A,G08,1,111.28
2026-03-05,3,CDSEM-A,G08,2,110.445
2026-03-05,3,CDSEM-A,G08,3,110.849
2026-03-05,3,CDSEM-A,G08,4,110.434
2026-03-05,3,CDSEM-A,G08,5,110.249
2026-03-05,3,CDSEM-B,G00,1,112.177
2026-03-05,3,CDSEM-B,G00,2,112.652
